chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	14653	124204084	0.498877392775048	1860	0.137002436150416	0.981767435031371	265452	0.443241200298314	2	1	1	-6.73316167349653
chr1	125098156	145837693	0.263392917244019	46	0.154510903575351	1.15286618683502	4048	0.582219173797994	3	3	0	-6.7392569734186
chr1	145846532	248914573	0.441212427763644	1911	0.135324989095984	1.18266072261219	253444	0.567732943325969	3	2	1	-6.7783198913462
chr2	173150	91975047	0.49886543128446	1027	0.138892748495772	0.972673689485902	142789	0.46530311434631	2	1	1	-6.75276982689829
chr2	94199062	241776965	0.49888627694005	2103	0.131145118326211	0.988255906940422	269244	0.464515613267932	2	1	1	-6.75356631301614
chr3	319825	90258569	0.462841152619258	1056	0.133614460006685	0.986777461366959	144946	0.449188509506242	2	1	1	-6.78740084430299
chr3	91483878	198036087	0.481083134398671	1256	0.125803362089555	0.983254659919215	166178	0.474703713434167	2	1	1	-6.74770620211615
chr4	272382	49061855	0.498861697390941	576	0.130184223982451	0.970992567572294	61582	0.43905889813236	2	1	1	-6.74991106833349
chr4	49091951	49711905	0.474885931753684	204	0.156335725754247	0.862575201464849	2365	0.513346886931834	2	1	1	-6.77184962451189
chr4	51886646	190179606	0.498877771009326	1311	0.12997208169322	0.972428462080556	160073	0.470223455418137	2	1	1	-6.76376340588996
chr5	163090	44809060	0.391313373668937	387	0.128702324615301	1.17292962346906	54377	0.62334067220312	3	2	1	-6.76439880923891
chr5	49599511	49667305	0.342886135218307	172	0.145166591016276	0.80658367314553	1764	0.445640210798491	2	2	0	-6.77152768097258
chr5	50821314	181283260	0.494206160543138	1533	0.136263673204671	1.17551310296284	209983	0.559294282115088	3	2	1	-6.91615680016921
chr6	147646	58120790	0.498860524835376	744	0.126773449286629	0.974453165796373	97284	0.440226734161297	2	1	1	-6.74182594281869
chr6	61681011	159907588	0.49887534517503	900	0.130821232237368	0.981404361900203	130053	0.456483833634899	2	1	1	-6.73307825839413
chr6	160032946	170640022	0.410107462669033	123	0.14323377732695	0.805016308876295	11547	0.381385890694653	1	1	0	-6.76196432303019
chr7	246436	57770880	0.437140752116457	945	0.130111870656563	1.17421692788224	91062	0.600621739853754	3	2	1	-6.74615787593606
chr7	60981624	159034771	0.459060179737611	1438	0.139402554045517	1.17445440935272	180130	0.556261979155789	3	2	1	-6.78563570002808
chr8	213249	43271311	0.498838055060767	606	0.119943962552052	0.979223832114956	62823	0.48146812092557	2	1	1	-6.73357868553748
chr8	46593404	49075351	0.497874303403868	9	0.227484065376017	0.949329081401902	3883	0.438896377822635	2	1	1	-6.741543772248
chr8	49938572	145035645	0.49887521488851	896	0.125359281273612	0.976938030179386	115062	0.450992022603284	2	1	1	-6.73860225255626
chr9	10368	43110489	0.498824216904734	510	0.13152790718866	0.982630012614183	58378	0.447782888421964	2	1	1	-6.73331966744482
chr9	61614039	66171405	0.478448658075364	98	0.14855467115477	1.01926759063725	3345	0.616244406100842	2	1	1	-6.75599780299191
chr9	66919504	138177100	0.498871835995253	1215	0.132232321160191	0.976412534950735	149859	0.446360129737663	2	1	1	-6.7383856354923
chr10	48005	34331292	0.480595725794585	470	0.124284970126689	0.967769920195928	50313	0.454443429874146	2	1	1	-6.76671586059127
chr10	35032294	39198403	0.399873748423478	84	0.153664654887811	0.96104305987718	4483	0.430486515960305	2	2	0	-6.93741129835292
chr10	41858385	42083545	0.495325595204083	98	0.139821150525344	0.771780250809601	783	0.398127143685352	0	0	0	-6.78154352186577
chr10	42411753	72210693	0.370670629614686	405	0.118514895394061	0.78890275720774	42998	0.367152772348735	1	1	0	-6.74667025912078
chr10	73124133	76910268	0.132420825775876	48	0.0883994776106962	3.20104764212338	15793	1.85199830878058	16	15	1	-6.7431386094365
chr10	77184832	80172924	0.23608814773465	57	0.116772410009164	2.35411266601252	5734	1.40537182768362	8	7	1	-6.74511797124187
chr10	80249046	133626829	0.35793293669312	811	0.126933723758803	0.777948077951547	94141	0.353741058758654	1	1	0	-6.87166067113242
chr11	211203	406830	0.498044311026872	14	0.186407579551599	0.967137208819387	1491	0.42544791826452	2	1	1	-6.73323252507409
chr11	428385	50420232	0.496641116623589	949	0.124335824578488	0.985007088564608	94200	0.445932023644887	2	1	1	-6.73562888042236
chr11	54603244	58403280	0.498841458665479	133	0.0956342500071815	0.983748621369736	8324	0.383892312505399	2	1	1	-6.73321505445931
chr11	58422639	69083998	0.410894895959842	357	0.135925303152182	0.876512890212014	54265	0.45417265423009	1	1	0	-7.04161502839764
chr11	69086714	71579772	0.232031055784737	37	0.147582394150058	1.96040124642958	5541	1.03002307920402	8	7	1	-6.73976082837565
chr11	71796265	72281055	0.499190610648774	9	0.104910014350924	0.780717579553644	2630	0.310615852360935	2	1	1	-6.88667960232171
chr11	72577555	76115748	0.0998713848809024	127	0.074213558690197	4.42561105814306	19717	2.93054559154003	20	19	1	-6.75219741179494
chr11	76403841	79127933	0.152816260805135	68	0.0800300426469679	3.68660213750887	13155	2.56549723484896	14	13	1	-6.7376161009905
chr11	79989622	134985672	0.38087440451795	645	0.127430089139436	0.827682889122998	86413	0.511587926094045	1	1	0	-6.93302774664773
chr12	237902	34209563	0.498857431218044	691	0.130222780230779	0.986124598536697	73694	0.472789895996035	2	1	1	-6.73528229399752
chr12	38654077	133193510	0.49887624807137	1316	0.139271468361751	0.970902687335913	208024	0.461793330782021	2	1	1	-6.76301243835484
chr13	18173353	28390266	0.38070169654692	260	0.129012055288878	0.772358219575946	19921	0.324529008741091	1	1	0	-6.78071833437908
chr13	28494902	114354016	0.498869467721011	739	0.121608064381723	0.986022699285198	87357	0.43276612936649	2	1	1	-6.73945598671615
