chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	14653	124421104	0.498857698244335	1689	0.130104723858272	0.956822523602086	237684	0.407112254820717	2	1	1	-6.85478763603807
chr1	125098440	145404943	0.279634468249948	36	0.158079957666597	1.03419343708536	2192	0.602827606203996	3	3	0	-6.81980613361539
chr1	145405011	248914573	0.498836501199265	1741	0.132154189183259	1.14043257327589	226168	0.480177911698574	4	2	2	-6.9812271543076
chr2	173150	91975047	0.49884632901428	924	0.133436611238832	0.942853424908623	127313	0.382966972705644	2	1	1	-6.73443056000202
chr2	94199062	241776965	0.498875406213198	1916	0.129444697036448	0.950905552878896	239841	0.42681764030765	2	1	1	-6.78523414226334
chr3	319825	90258569	0.443540809440257	963	0.124224199912062	0.961477784903167	129759	0.402427975566782	2	1	1	-7.00414966055558
chr3	91483878	198036087	0.478268932821895	1147	0.120460490396091	0.950501284499329	148472	0.369841818221528	2	1	1	-6.79867910412995
chr4	272382	49091951	0.498807457083989	522	0.11630360712287	0.880215651327803	53591	0.362018796519962	2	1	1	-7.59510648827241
chr4	49091952	49711905	0.483389633957418	178	0.154851302606315	0.751768563205375	1886	0.412466586254646	0	0	0	-6.74861833541324
chr4	51107340	188738454	0.498854493350162	1173	0.127480430171447	0.946108278611659	142624	0.391427725906738	2	1	1	-6.74844552276729
chr4	189235186	190179606	0.247616700137024	23	0.132617954060265	1.07786107651991	116	0.375443804150451	4	4	0	-6.85577681379034
chr5	230927	44809060	0.496233464919056	347	0.122737208763624	1.12206897929251	47439	0.48269287739256	4	2	2	-6.979269986362
chr5	49599511	49666399	0.315390647165594	148	0.152082062130908	0.754200377515772	1292	0.467466508664053	3	3	0	-6.76241819050494
chr5	49666499	181283260	0.4988362016609	1373	0.128088735768369	1.13353962993241	185671	0.44657001176085	4	2	2	-7.23274024309102
chr6	335251	58120790	0.498838974519671	680	0.124697317593045	0.950428982817216	87065	0.382012272121907	2	1	1	-6.75629123615519
chr6	61681011	170640022	0.498846555661099	930	0.134537462077986	0.929907363818541	125572	0.462377597548105	2	1	1	-6.77625009191617
chr7	246436	57770880	0.496400693407872	877	0.131485589603773	1.13601375436331	80614	0.459245718855672	4	2	2	-6.92617736075097
chr7	60981624	159032034	0.449582873573531	1310	0.137191551728418	1.13185973756661	159351	0.480004914189851	4	3	1	-7.16746735297793
chr8	213249	43271311	0.498806953281343	565	0.120974136023549	0.949789067869991	55854	0.366466429938028	2	1	1	-6.74943010484112
chr8	46593404	145035645	0.498851721412144	825	0.124174100948138	0.948329300505704	106549	0.395443194524585	2	1	1	-6.75534258113108
chr9	13063	43110489	0.462247119584652	483	0.128519474243183	0.941092691425643	52136	0.400667609153407	2	1	1	-6.78436241187159
chr9	61614039	122629130	0.48037071385194	742	0.124840641365201	0.941934443524842	82763	0.369702451991657	2	1	1	-6.74805609862354
chr9	122789744	138219529	0.496402253494648	463	0.141081250971915	0.975915938553153	54405	0.399018861979089	2	1	1	-6.80934883587837
chr10	48005	39967657	0.498816830096653	501	0.123275942486797	0.934192726033641	49148	0.446798916905306	2	1	1	-6.7395205259382
chr10	41858392	42787374	0.453173727903779	109	0.143494170481882	0.774668734333458	1568	0.351071140998996	1	1	0	-6.76742018550302
chr10	42797382	72210693	0.498711696338557	369	0.131411179374843	0.756415189252022	37553	0.339030896271749	0	0	0	-7.39174503486128
chr10	73124133	80172753	0.189245690605222	95	0.1244607090013	2.83475271636855	19518	1.61372501189412	19	17	2	-6.73969685907071
chr10	80172924	133626774	0.417380449043147	749	0.129201683681832	0.762714533560065	85276	0.314562321212743	1	1	0	-8.21037974263352
chr11	211203	50420232	0.498855846137079	873	0.120152787712976	0.961374203439883	86354	0.395132731120696	2	1	1	-6.81979697568103
