chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	14677	120807549	0.498899135959814	1892	0.0851659832429038	0.972005899659206	255598	0.262764945309447	2	1	1	-6.78383226503167
chr1	120810008	124741523	0.144232547882261	9	0.0926828523034931	0.977676780786918	1245	0.283403920641634	3	3	0	-9.32292112220716
chr1	125098092	145510050	0.294845217995324	30	0.128146719073082	1.02506461754082	2670	0.313822340394602	3	3	0	-7.04852839522705
chr1	145876641	248816707	0.498896809347863	1991	0.0818499046413498	1.1250157063205	238733	0.279263930074093	4	2	2	-6.85146060076527
chr2	224919	91974999	0.498879786874215	944	0.0862771359892692	0.963996762198912	135829	0.239505921447461	2	1	1	-6.73473851860042
chr2	94857002	241463391	0.457383453883237	2052	0.081285806637262	0.966173147009905	251401	0.239847948100324	2	1	1	-6.89498878992006
chr3	319825	89472543	0.485713362120991	1009	0.0838585708376732	1.04723076769957	143356	0.264867704753201	3	2	1	-6.81106309743206
chr3	91483878	197848065	0.498904562110884	1257	0.0738646355197332	0.990442221508339	157457	0.248544068028925	2	1	1	-7.35096997028531
chr4	86301	49092775	0.496960027207487	533	0.0895032387171686	0.917764864945079	57709	0.242024119325414	1	1	0	-7.72766577858652
chr4	49096831	49711914	0.365287244401282	202	0.130340550030741	0.894241063081566	2711	0.315029769478203	2	2	0	-6.82445104793417
chr4	52885765	190179606	0.498865791489821	1230	0.0866014566258519	0.937606103230048	145914	0.247199195646796	2	1	1	-7.69780472455528
chr5	58183	44159072	0.400159665155224	486	0.0801154884232739	1.27640679467041	53306	0.317921313929088	6	5	1	-7.02964566293786
chr5	49599458	49666991	0.485355024296503	144	0.120779460701843	0.888391184622562	1778	0.226625220487885	2	1	1	-6.747264563454
chr5	50399214	181283260	0.480927293469891	1325	0.0849670305202994	0.926001831026639	183134	0.236959271795797	2	1	1	-8.53171143064292
chr6	147596	60874130	0.499077421806925	792	0.0697413397773729	1.03855550856677	96133	0.259374716530286	3	2	1	-7.01735245812102
chr6	61574236	170583760	0.498900596966654	1064	0.0779659353453969	0.973248016512696	133660	0.244122304947186	2	1	1	-6.80704785600236
chr7	512409	57485484	0.498883280166171	872	0.0837032803600234	0.968797477978904	80589	0.254815217512046	2	1	1	-6.74023135402112
chr7	60981623	158631816	0.416384289222133	1413	0.0895169259763079	0.901496793157836	154768	0.22813500735667	1	1	0	-7.49669000320228
chr8	330241	43270912	0.430236551226427	676	0.0877024556031662	0.89726825834471	57489	0.228300329217057	1	1	0	-6.98099514844781
chr8	46579375	86558166	0.351431575108703	217	0.0894911872628412	1.09186303698816	41513	0.300661597588973	3	3	0	-7.12276454029892
chr8	86654023	112503668	0.244797236256474	225	0.081627897017065	1.44562557351474	37076	0.389669057244318	8	8	0	-6.85241999558127
chr8	112503980	145035633	0.364543107712861	383	0.091027028745702	1.03351032057008	41425	0.272061958461932	3	3	0	-6.82557436015639
chr9	16912	43128861	0.499095638220771	495	0.0778748990224903	1.05584825107027	57143	0.267705891369865	3	2	1	-6.89468124190101
chr9	61194086	138177303	0.498892269406448	1063	0.0832389128282143	0.967826787773394	148442	0.239320861159211	2	1	1	-6.7388828344575
chr10	47588	39198403	0.498869081068572	570	0.0799357750244391	1.20646054889837	56977	0.295494249606525	5	3	2	-6.90922886773267
chr10	41858357	42506876	0.269766240048189	109	0.124196524743689	0.989304593855151	1248	0.405153538391445	5	5	0	-6.94765416509183
chr10	42506893	54600413	0.403232546237732	224	0.0806704517956928	0.895541741641699	21172	0.243831544478353	1	1	0	-6.97804478532707
chr10	58817496	84081630	0.491186253595384	301	0.0751258641186854	1.34966028005916	43506	0.340926989842357	6	3	3	-6.83999889636597
chr10	84142638	120851403	0.498871571188106	510	0.0833270648129646	0.928476227011199	74173	0.240438580374858	2	1	1	-7.25892097538513
chr10	121551150	133689420	0.40910812433175	209	0.0790434337467462	1.13371014092871	20755	0.291589401634278	4	3	1	-6.7553365873128
chr11	197337	50409040	0.498903354562133	821	0.0772387862226295	1.01915444332268	94744	0.255067778953221	3	2	1	-7.32715228985336
chr11	54635380	134374229	0.498896733508409	1364	0.0778977652883685	0.978050672739239	178495	0.24276407239405	2	1	1	-6.87093790911364
chr12	556741	34209688	0.498878092783767	680	0.0852036285166138	1.02157717870094	69580	0.257373469909033	3	2	1	-7.11695089575118
chr12	37420892	133057131	0.433158730961562	1368	0.0854465570116146	0.901787197566162	194256	0.227669650155964	1	1	0	-7.44008632826651
chr13	16135935	16147612	0.12973264926908	4	0.152451904984271	1.03585353901782	41	0.678028151620745	20	20	0	-6.76357112983843
