GENE	Sample1
UBE2Q2P2	1.638196
SSX9	0.337946
CXorf67	0
EFCAB8	0
SPATA31B1P	0
SDR16C6P	0
GTPBP6	6.86879
EFCAB12	0.193525
A1BG	2.131672
A1CF	0.197467855613
RBFOX1	5.185676
GGACT	2.124735
A2ML1	1.786953
A2M	248.971
A4GALT	0.598207
A4GNT	0
NPSR1-AS1	0
AAAS	5.46868
AACS	4.0332209793
AADACL2	0
AADACL3	0
AADACL4	0
AADAC	0
AADAT	1.41477253
AAGAB	7.91496
AAK1	9.940723
AAMP	15.4187660219434
AANAT	0
AARS2	3.22507
AARSD1	7.53895
AARS	31.6584
AASDHPPT	11.02629
AASDH	3.935218321173
AASS	4.31967
AATF	5.840573
AATK	6.504310428038
ABAT	10.2558374
ABCA10	1.265046
ABCA11P	1.731693
ABCA12	4.273716727
ABCA13	2.244227
ABCA17P	1.343805
ABCA1	53.30564
ABCA2	30.22063807
ABCA3	5.180067
ABCA4	0.568084
ABCA5	6.51003
ABCA6	3.16456
ABCA7	4.41973961673
ABCA8	7.77356
ABCA9	5.8173
ABCB10	6.52379
ABCB11	0
ABCB1	7.52722
ABCB4	0.51957745
ABCB5	6.625645
ABCB6	2.36802
ABCB7	4.51411
ABCB8	4.4124077380681
ABCB9	2.945174
ABCC10	2.702197
ABCC11	17.32669627
ABCC12	4.83702900275032
ABCC13	0.616283
ABCC1	7.9322233905
ABCC2	3.98838
ABCC3	8.3981
ABCC4	1.514102
ABCC5	14.995831
ABCC6P2	5.24329
ABCC6	11.20979
ABCC8	2.568414
ABCC9	11.552887
ABCD1	4.61775
ABCD2	0.923217
ABCD3	11.452602101
ABCD4	4.89346
ABCE1	8.99138
ABCF1	8.849003
ABCF2	10.35973
ABCF3	9.52154
ABCG1	23.85010837
ABCG2	9.1990088017642
ABCG4	0.114368
ABCG5	0
ABCG8	0
ABHD10	6.75207
ABHD11	21.043720659262
ABHD12B	3.30823
ABHD12	20.94206
ABHD13	3.64348
ABHD14A	4.628511
ABHD14B	7.42643
ABHD15	5.1463
ABHD1	4.645688
ABHD2	16.1475
ABHD3	11.385925
ABHD4	9.01501
ABHD5	2.30326
ABHD6	7.50685
ABHD8	3.39316
ABI1	17.75495
ABI2	12.71002153937
ABI3BP	2.410994
ABI3	3.95319
ABL1	5.09794
ABL2	10.13543
ABLIM1	28.41812
ABLIM2	2.554216
ABLIM3	6.42724985502658
ABO	0.29169076
AOC1	0.668943
ABRA	0.302324
ABR	23.85366
ABT1	2.40275
ABTB1	3.18112
ABTB2	1.98608
ACAA1	16.40997011375
ACAA2	16.10103
ACACA	14.8965100254
ACACB	5.4716528982
ACAD10	6.740159
ACAD11	10.2231
ACAD8	15.19443
ACAD9	8.09591
ACADL	2.436991
ACADM	39.31653
ACADSB	7.92493
ACADS	4.14383
ACADVL	40.6772847480201
ACAN	1.047350149467
ACAP1	0.496749
ACAP2	10.97975
ACAP3	6.666994
ACAT1	13.863324
ACAT2	3.22087
ACBD3	13.4404
ACBD4	3.61174
ACBD5	11.2350899
ACBD6	7.02068
ACBD7	8.01268
ASIC2	0.308575
ASIC1	1.96524
ASIC3	0
ASIC4	0.72222
ASIC5	0.247837
ACCSL	0
ACCS	5.931947678
ACD	0.413803
ACE2	5.97173145281
ACER1	0
ACER2	6.8441
ACER3	8.18820353489625
ACE	6.0992
ACHE	1.159315
ACIN1	19.04684
ACLY	18.24955175561
ACMSD	0
SDHAF3	2.23279
ACO1	10.257469
ACO2	35.57449
ACOT11	11.9981696421
ACOT12	0.740652
ACOT13	8.18736
ACOT1	13.3541
ACOT2	17.77221
ACOT4	2.31802
ACOT6	0
ACOT7	6.8688034527
ACOT8	5.1519
ACOT9	7.264503358622
ACOX1	10.613330210754
ACOX2	0.720979
ACOX3	4.57983
ACOXL	0.348101
ACP1	12.796858
ACP2	17.86303543
ACP5	140.38803
ACP6	5.126209
PXYLP1	2.27543
ACPP	1.024541
ACPT	0
ACRBP	1.99493
ACRC	1.30124
ACRV1	0
ACR	0
ACSBG1	18.30195515284
ACSBG2	0.333608
ACSF2	9.4821641191
ACSF3	5.829776
ACSL1	78.33183371525
ACSL3	27.98673
ACSL4	10.35664740406
ACSL5	4.68277
ACSL6	12.0256282
ACSM1	16.386
ACSM2A	2.619065
ACSM2B	0
ACSM3	0.419894
ACSM4	0.240374
ACSM5	6.95032
ACSS1	8.72707800109031
ACSS2	8.39603
ACSS3	7.65002
ACTA1	0
ACTA2	23.38895
ACTBL2	0.148383
ACTB	1018.03239
ACTC1	0
ACTG1	298.40845
ACTG2	0.353499
ACTL6A	4.96571
ACTL6B	0.27513839946
ACTL7A	0.588455
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	48.563433
ACTN2	1.170618
ACTN3	0.145156
ACTN4	25.76747
ACTR10	7.0445100212165
ACTR1A	18.7499
ACTR1B	9.76924
ACTR2	43.49162
ACTR3B	3.02939
ACTR3C	4.02931
ACTR3	33.8926236
ACTR5	4.5241
ACTR6	11.11325
ACTR8	7.2499200517748
ACTRT1	0
ACTRT2	0
ACVR1B	5.54865
ACVR1C	0.607585507975
ACVR1	7.232
ACVR2A	2.308770147923
ACVR2B	1.867305047
ACVRL1	5.04823
ACY1	7.564748
ACY3	0
ACYP1	1.46531
ACYP2	6.60746
ADAD1	0
ADAD2	0
ADAL	2.7722696
ADAM10	20.241357
ADAM11	1.217288
ADAM12	3.1213247
ADAM15	22.8227400901663
ADAM17	10.96464039753
ADAM18	0
ADAM19	1.320525
ADAM20	0.445473
ADAM21P1	0
ADAM21	0.518468
ADAM22	3.2409
ADAM23	3.394495
ADAM28	9.08055
ADAM29	0
ADAM2	1.53362
ADAM30	0
ADAM32	0.834716
ADAM33	1.208903
ADAM3A	8.92387
ADAM6	0.399925
ADAM7	0
ADAM8	14.6064
ADAM9	22.920028003789
ADAMDEC1	33.6506
ADAMTS10	2.82091
ADAMTS12	0.175115
ADAMTS13	2.927889
ADAMTS14	1.4767998
ADAMTS15	0.726296
ADAMTS16	0.701241
ADAMTS17	1.651932
ADAMTS18	0
ADAMTS19	0.109214
ADAMTS1	10.0015
ADAMTS20	0
ADAMTS2	5.10191
ADAMTS3	1.514057
ADAMTS4	4.950715
ADAMTS5	0.296462
ADAMTS6	0.380994
ADAMTS7	1.799141
ADAMTS8	1.46538
ADAMTS9	4.68081200704
ADAMTSL1	1.12857
ADAMTSL2	2.608221
ADAMTSL3	39.098233
ADAMTSL4	4.6421820920199
ADAMTSL5	0
ADAP1	4.58176594202362
ADAP2	13.4604434
ADARB1	5.7114478964
ADARB2	1.264609
ADAR	51.687241
ADAT1	5.6756
ADAT2	1.647026
ADAT3	1.06597
ADA	1.92337
ADCK1	1.67792
ADCK2	8.44243
ADCK4	9.26859
ADCK5	2.03255
ADCY10	1.45345081188
ADCY1	2.66677
ADCY2	6.00936
ADCY3	12.81299
ADCY4	0.125588
ADCY5	2.434269
ADCY6	3.283358
ADCY7	9.45922
ADCY8	3.45042
ADCY9	3.12974
ADCYAP1R1	17.763740876448
ADCYAP1	0.5801624638
AZIN2	2.22551
ADD1	36.5039726715262
ADD2	8.1107953402577
ADD3	29.6734694743
ADH1A	0
ADH1B	3.403356
ADH1C	0
ADH4	1.28146
ADH5	29.14762
ADH6	0
ADH7	0
ADHFE1	2.49253
ADI1	13.54764
ADIG	0
ADIPOQ	1.62703
ADIPOR1	31.1738619
ADIPOR2	16.74004
ADK	8.06918
ADM2	2.30748
ADM	14.735889
ADNP2	3.58612
ADNP	13.448076
ADORA1	6.141036
SPECC1L-ADORA2A	1.94618
ADORA2B	0.757335
ADORA3	33.64789
ADO	8.20063
ADPGK	17.60897
ADPRHL1	0.983562
ADPRHL2	8.70313
ADPRH	2.742732
ADRA1A	2.82393
ADRA1B	0.923298
ADRA1D	0.311169
ADRA2A	0.213055
ADRA2B	0.380401
ADRA2C	0.525759
ADRB1	0.869074
ADRB2	1.2314
ADRB3	0
ADRBK1	10.3137
ADRBK2	8.50853
ADRM1	21.182014
ADSL	7.78943
ADSSL1	0.716888
ADSS	12.102895
AEBP1	9.60354
AEBP2	3.61905
AEN	4.475607
AES	31.413241
AFAP1L1	3.17777
AFAP1L2	1.723839
AFAP1	1.90093
AFF1	14.900066
AFF2	2.6702943688
AFF3	5.77615597779
AFF4	18.2432354476
AFG3L1P	4.86418355
AFG3L2	11.8767
AFMID	25.760776
AFM	0
AFP	0
AFTPH	10.33887645
C11orf96	5.3682
AGAP1	7.846937
AGAP2	3.30352
AGAP3	9.315169
AGAP6	10.08073
AGAP5	11.3175
AGA	8.42298
AGBL1	0
AGBL2	0.621336
AGBL3	0.116998
AGBL4	2.04786
AGBL5	3.145588156079
AGER	4.9089
AGFG1	8.549300538564
AGFG2	5.31868
AGGF1	9.61295
AGK	7.07914
AGL	5.727532949658
AGMAT	4.08087
AGPAT1	9.324411
AGPAT2	7.54629
AGPAT3	8.7619
AGPAT4	6.7041287599774
AGPAT5	4.6908700122308
GPAT4	5.20908
GPAT3	0.458518
HYKK	3.572652
AGPS	5.1319
AGR2	16.535176
AGR3	2.90933
