GENE	Sample1
UBE2Q2P2	231
SSX9	1
CXorf67	0
EFCAB8	64
SPATA31B1P	0
SDR16C6P	0
GTPBP6	708
EFCAB12	28
A1BG	865
A1CF	1
RBFOX1	1
GGACT	382
A2ML1	367
A2M	278051
A4GALT	540
A4GNT	2
NPSR1-AS1	0
AAAS	791
AACS	1074
AADACL2	1
AADACL3	13
AADACL4	0
AADAC	71
AADAT	215
AAGAB	2045
AAK1	3686
AAMP	2560
AANAT	6
AARS2	1409
AARSD1	1150
AARS	5177
AASDHPPT	1649
AASDH	1308
AASS	2291
AATF	1615
AATK	703
ABAT	782
ABCA10	419
ABCA11P	266
ABCA12	4937
ABCA13	505
ABCA17P	61
ABCA1	15695
ABCA2	2202
ABCA3	13071
ABCA4	145
ABCA5	2717
ABCA6	4769
ABCA7	1420
ABCA8	2944
ABCA9	2548
ABCB10	1780
ABCB11	2
ABCB1	1196
ABCB4	37
ABCB5	1056
ABCB6	606
ABCB7	1116
ABCB8	1574
ABCB9	782
ABCC10	956
ABCC11	11284
ABCC12	4217
ABCC13	134
ABCC1	3788
ABCC2	1743
ABCC3	3294
ABCC4	1873
ABCC5	1099
ABCC6P2	556
ABCC6	2321
ABCC8	93
ABCC9	5638
ABCD1	930
ABCD2	235
ABCD3	3243
ABCD4	908
ABCE1	4728
ABCF1	2431
ABCF2	2780
ABCF3	1480
ABCG1	2967
ABCG2	481
ABCG4	2
ABCG5	25
ABCG8	0
ABHD10	1211
ABHD11	1493
ABHD12B	33
ABHD12	1463
ABHD13	1619
ABHD14A	735
ABHD14B	2267
ABHD15	723
ABHD1	537
ABHD2	7415
ABHD3	1563
ABHD4	1016
ABHD5	1605
ABHD6	674
ABHD8	374
ABI1	4131
ABI2	2546
ABI3BP	6493
ABI3	727
ABL1	3088
ABL2	5233
ABLIM1	6310
ABLIM2	292
ABLIM3	1242
ABO	23
AOC1	409
ABRA	10
ABR	2986
ABT1	817
ABTB1	532
ABTB2	268
ACAA1	2467
ACAA2	2299
ACACA	10495
ACACB	992
ACAD10	1219
ACAD11	1726
ACAD8	3494
ACAD9	1563
ACADL	454
ACADM	6637
ACADSB	2407
ACADS	562
ACADVL	7706
ACAN	145
ACAP1	1114
ACAP2	6592
ACAP3	1630
ACAT1	2460
ACAT2	740
ACBD3	6234
ACBD4	590
ACBD5	2867
ACBD6	1644
ACBD7	1028
ASIC2	0
ASIC1	21
ASIC3	197
ASIC4	70
ASIC5	11
ACCSL	0
ACCS	690
ACD	296
ACE2	6329
ACER1	8
ACER2	891
ACER3	1658
ACE	994
ACHE	133
ACIN1	5172
ACLY	8902
ACMSD	6
SDHAF3	376
ACO1	2473
ACO2	3308
ACOT11	449
ACOT12	5
ACOT13	1698
ACOT1	817
ACOT2	1342
ACOT4	370
ACOT6	49
ACOT7	587
ACOT8	370
ACOT9	1615
ACOX1	4840
ACOX2	214
ACOX3	842
ACOXL	164
ACP1	2717
ACP2	1876
ACP5	4552
ACP6	626
PXYLP1	352
ACPP	622
ACPT	7
ACRBP	48
ACRC	284
ACRV1	2
ACR	11
ACSBG1	713
ACSBG2	5
ACSF2	3115
ACSF3	710
ACSL1	15895
ACSL3	5951
ACSL4	7396
ACSL5	3069
ACSL6	66
ACSM1	1329
ACSM2A	304
ACSM2B	2
ACSM3	441
ACSM4	13
ACSM5	379
ACSS1	1527
ACSS2	2082
ACSS3	1810
