GENE	Sample1
UBE2Q2P2	373
SSX9	0
CXorf67	0
EFCAB8	3
SPATA31B1P	0
SDR16C6P	3
GTPBP6	310
EFCAB12	53
A1BG	226
A1CF	3
RBFOX1	0
GGACT	229
A2ML1	113
A2M	9460
A4GALT	186
A4GNT	1
NPSR1-AS1	0
AAAS	403
AACS	686
AADACL2	0
AADACL3	14
AADACL4	0
AADAC	3
AADAT	56
AAGAB	1791
AAK1	2848
AAMP	1368
AANAT	3
AARS2	753
AARSD1	553
AARS	1732
AASDHPPT	549
AASDH	1131
AASS	1338
AATF	888
AATK	44
ABAT	1788
ABCA10	330
ABCA11P	248
ABCA12	3711
ABCA13	91
ABCA17P	36
ABCA1	4625
ABCA2	729
ABCA3	1492
ABCA4	44
ABCA5	1535
ABCA6	2087
ABCA7	416
ABCA8	1120
ABCA9	1633
ABCB10	1615
ABCB11	18
ABCB1	224
ABCB4	44
ABCB5	356
ABCB6	190
ABCB7	811
ABCB8	571
ABCB9	374
ABCC10	273
ABCC11	6159
ABCC12	567
ABCC13	70
ABCC1	735
ABCC2	150
ABCC3	226
ABCC4	247
ABCC5	440
ABCC6P2	4
ABCC6	341
ABCC8	71
ABCC9	3931
ABCD1	155
ABCD2	17
ABCD3	4660
ABCD4	326
ABCE1	2360
ABCF1	1248
ABCF2	1389
ABCF3	815
ABCG1	1162
ABCG2	299
ABCG4	0
ABCG5	23
ABCG8	0
ABHD10	948
ABHD11	502
ABHD12B	26
ABHD12	415
ABHD13	1617
ABHD14A	207
ABHD14B	697
ABHD15	361
ABHD1	265
ABHD2	2328
ABHD3	1157
ABHD4	379
ABHD5	1263
ABHD6	83
ABHD8	146
ABI1	1462
ABI2	1853
ABI3BP	1350
ABI3	76
ABL1	1847
ABL2	4513
ABLIM1	1996
ABLIM2	111
ABLIM3	1225
ABO	3
AOC1	182
ABRA	16
ABR	1322
ABT1	335
ABTB1	147
ABTB2	168
ACAA1	869
ACAA2	239
ACACA	3953
ACACB	1269
ACAD10	524
ACAD11	701
ACAD8	713
ACAD9	760
ACADL	19
ACADM	1945
ACADSB	2706
ACADS	230
ACADVL	4553
ACAN	68
ACAP1	178
ACAP2	3464
ACAP3	663
ACAT1	444
ACAT2	162
ACBD3	5405
ACBD4	132
ACBD5	1227
ACBD6	890
ACBD7	809
ASIC2	0
ASIC1	20
ASIC3	79
ASIC4	19
ASIC5	47
ACCSL	0
ACCS	88
ACD	65
ACE2	60
ACER1	0
ACER2	377
ACER3	430
ACE	173
ACHE	12
ACIN1	3346
ACLY	5212
ACMSD	18
SDHAF3	116
ACO1	1090
ACO2	1598
ACOT11	85
ACOT12	4
ACOT13	597
ACOT1	474
ACOT2	479
ACOT4	182
ACOT6	11
ACOT7	219
ACOT8	204
ACOT9	447
ACOX1	2763
ACOX2	215
ACOX3	603
ACOXL	38
ACP1	1122
ACP2	222
ACP5	49
ACP6	440
PXYLP1	543
ACPP	228
ACPT	3
ACRBP	16
ACRC	129
ACRV1	4
ACR	3
ACSBG1	6
ACSBG2	15
ACSF2	708
ACSF3	225
ACSL1	1586
ACSL3	7358
ACSL4	850
ACSL5	370
ACSL6	8
ACSM1	40
ACSM2A	266
ACSM2B	0
ACSM3	77
ACSM4	3
ACSM5	16
ACSS1	486
ACSS2	524
ACSS3	1114
ACTA1	0
ACTA2	480
ACTBL2	2
ACTB	21108
ACTC1	0
ACTG1	26087
ACTG2	21
ACTL6A	1090
ACTL6B	0
ACTL7A	2
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	4805
ACTN2	8
ACTN3	3
ACTN4	4858
ACTR10	839
ACTR1A	1167
ACTR1B	381
ACTR2	7375
ACTR3B	353
ACTR3C	239
ACTR3	2332
ACTR5	265
ACTR6	578
ACTR8	650
ACTRT1	1
ACTRT2	0
ACVR1B	1191
ACVR1C	112
ACVR1	741
ACVR2A	1687
ACVR2B	1027
ACVRL1	563
ACY1	385
ACY3	149
ACYP1	132
ACYP2	76
ADAD1	0
ADAD2	0
ADAL	312
ADAM10	2803
ADAM11	10
ADAM12	425
ADAM15	3558
ADAM17	1304
ADAM18	2
ADAM19	178
ADAM20	178
ADAM21P1	25
ADAM21	64
ADAM22	163
ADAM23	17
ADAM28	184
ADAM29	1
ADAM2	0
ADAM30	0
ADAM32	109
ADAM33	67
ADAM3A	159
ADAM6	721
ADAM7	0
ADAM8	135
ADAM9	4502
ADAMDEC1	19
ADAMTS10	322
ADAMTS12	102
ADAMTS13	134
ADAMTS14	78
ADAMTS15	610
ADAMTS16	117
ADAMTS17	454
ADAMTS18	31
ADAMTS19	464
ADAMTS1	2933
ADAMTS20	0
ADAMTS2	239
ADAMTS3	477
ADAMTS4	1592
ADAMTS5	271
ADAMTS6	29
ADAMTS7	55
ADAMTS8	8
ADAMTS9	2275
ADAMTSL1	56
ADAMTSL2	910
ADAMTSL3	9329
ADAMTSL4	282
ADAMTSL5	63
ADAP1	52
ADAP2	243
ADARB1	710
ADARB2	10
ADAR	15467
ADAT1	809
ADAT2	208
ADAT3	37
ADA	69
ADCK1	124
ADCK2	530
ADCK4	519
ADCK5	87
ADCY10	79
ADCY1	609
ADCY2	519
ADCY3	427
ADCY4	133
ADCY5	475
ADCY6	2650
ADCY7	407
ADCY8	0
ADCY9	521
ADCYAP1R1	1
ADCYAP1	19
AZIN2	99
ADD1	3816
ADD2	68
ADD3	1637
ADH1A	201
ADH1B	9521
ADH1C	24
ADH4	111
ADH5	1361
ADH6	11
ADH7	0
ADHFE1	54
ADI1	2108
ADIG	0
ADIPOQ	420
ADIPOR1	4260
ADIPOR2	2434
ADK	741
ADM2	264
ADM	297
ADNP2	1240
ADNP	5411
ADORA1	32
SPECC1L-ADORA2A	41
ADORA2B	25
ADORA3	79
ADO	653
ADPGK	1184
ADPRHL1	109
ADPRHL2	285
ADPRH	112
ADRA1A	80
ADRA1B	3
ADRA1D	0
ADRA2A	148
ADRA2B	18
ADRA2C	59
ADRB1	18
ADRB2	69
ADRB3	22
ADRBK1	600
ADRBK2	1414
ADRM1	699
ADSL	542
ADSSL1	108
ADSS	3750
AEBP1	7061
AEBP2	1552
AEN	622
AES	2539
AFAP1L1	211
AFAP1L2	114
AFAP1	1195
AFF1	8344
AFF2	12
AFF3	2129
AFF4	9945
AFG3L1P	301
AFG3L2	1330
AFMID	1061
AFM	0
AFP	2
AFTPH	3264
C11orf96	926
AGAP1	1083
AGAP2	66
AGAP3	753
AGAP6	1393
AGAP5	867
AGA	283
AGBL1	2
AGBL2	27
AGBL3	112
AGBL4	177
AGBL5	364
AGER	56
AGFG1	5991
AGFG2	192
AGGF1	1752
AGK	817
AGL	1664
AGMAT	124
AGPAT1	516
AGPAT2	472
AGPAT3	1544
AGPAT4	99
AGPAT5	661
GPAT4	2097
GPAT3	62
HYKK	177
AGPS	449
AGR2	2070
AGR3	366
AGRN	2715
AGRP	6
AGTPBP1	676
AGTR1	20
AGTR2	0
AGTRAP	418
AGT	102
ETNPPL	7
PHYKPL	845
AGXT2	2
AGXT	1
AHCTF1	12186
AHCYL1	3276
AHCYL2	1434
AHCY	1828
AHDC1	579
AHI1	3699
AHNAK2	919
AHNAK	89721
AHRR	81
AHR	4102
AHSA1	1543
AHSA2	1103
AHSG	1
AHSP	1
AICDA	46
AIDA	8177
AIF1L	308
AIF1	102
AIFM1	915
AIFM2	283
AIFM3	16
AIG1	630
AIM1L	3
AIM1	2030
AIM2	64
AIMP1	987
AIMP2	62
AIPL1	85
AIP	747
AIRE	65
AJAP1	12
AK1	342
AK2	3294
AK4	2792
AK3	2922
AK5	244
AK7	62
AKAP10	1064
AKAP11	5101
AKAP12	3147
AKAP13	6767
AKAP14	7
AKAP1	1058
AKAP2	1565
AKAP3	36
AKAP4	0
AKAP5	1223
AKAP6	169
AKAP7	251
AKAP8L	1001
AKAP8	896
AKAP9	15562
AK9	852
AKIRIN1	1996
AKIRIN2	300
AKNAD1	10
AKNA	1080
AKR1A1	1491
AKR1B10	79
AKR1B15	561
AKR1B1	188
AKR1C1	158
AKR1C2	123
AKR1C3	152
AKR1C4	0
AKR1C8P	4
AKR1D1	102
AKR1E2	300
AKR7A2	709
AKR7A3	177
AKT1S1	255
AKT1	4086
AKT2	1438
AKT3	899
AKTIP	586
ALAD	915
ALAS1	491
ALAS2	6
ALB	34
ALCAM	12635
ALDH16A1	509
ALDH18A1	5448
ALDH1A1	427
ALDH1A2	36
ALDH1A3	151
ALDH1B1	306
ALDH1L1	122
ALDH1L2	221
ALDH2	1299
ALDH3A1	118
ALDH3A2	1338
ALDH3B1	869
ALDH3B2	21248
ALDH4A1	1009
ALDH5A1	440
ALDH6A1	1346
ALDH7A1	1476
ALDH8A1	81
ALDH9A1	2942
ALDOA	16667
ALDOB	3
ALDOC	56
ALG10B	1952
ALG10	543
ALG11	856
ALG12	389
ALG13	2084
ALG14	153
ALG1L2	70
ALG1L	112
ALG1	1458
ALG2	906
ALG3	208
ALG5	552
ALG6	585
ALG8	5344
ALG9	588
ALKBH1	204
ALKBH2	127
ALKBH3	152
ALKBH4	179
ALKBH5	2235
ALKBH6	61
ALKBH7	350
ALKBH8	205
ALK	1
ALLC	0
ALMS1P1	128
ALMS1	5408
ALOX12B	7
ALOX12P2	47
ALOX12	48
ALOX15B	3599
ALOX15	22
ALOX5AP	81
ALOX5	239
ALOXE3	6
ALPI	0
ALPK1	4074
ALPK2	2
ALPK3	83
ALPL	170
ALPPL2	0
ALPP	19
ALS2CL	229
ALS2CR11	150
ALS2CR12	25
TMEM237	747
CARF	907
ALS2	1351
ALX1	3
ALX3	26
ALX4	0
SLC35G5	5
SLC35G6	15
SLC35G3	7
AMACR	566
AMBN	0
AMBP	34
AMBRA1	621
AMD1	2617
AMDHD1	13
AMDHD2	67
AMELX	1
AMELY	0
AMFR	4128
AMHR2	1
AMH	166
JAML	46
AMIGO1	76
AMIGO2	103
AMIGO3	117
AMMECR1L	560
AMMECR1	825
AMN1	239
AMN	5
AMOTL1	1191
AMOTL2	912
AMOT	8778
AMPD1	0
AMPD2	393
AMPD3	139
AMPH	300
AMTN	4
AMT	87
AMY1A	152
AMY2A	268
AMY2B	3414
AMZ1	79
AMZ2P1	168
AMZ2	817
ANAPC10	261
ANAPC11	268
ANAPC13	459
ANAPC16	2580
ANAPC1	2237
ANAPC2	444
ANAPC4	960
ANAPC5	2446
ANAPC7	1142
ANGEL1	662
ANGEL2	2681
ANGPT1	103
ANGPT2	718
ANGPT4	2
ANGPTL1	1088
ANGPTL2	551
ANGPTL3	94
ANGPTL4	222
ANGPTL5	5
ANGPTL6	8
ANGPTL7	41
ANG	175
ANK1	6
ANK2	825
ANK3	4117
ANKAR	451
ANKDD1A	246
ANKFN1	10
ANKFY1	2662
ANKHD1-EIF4EBP3	2400
ANKHD1	7971
ANKH	1015
ANKIB1	2402
ANKK1	19
ANKLE1	734
ANKLE2	1382
ANKMY1	858
ANKMY2	457
ANKRA2	546
ANKRD10	6512
ANKRD11	2032
ANKRD12	5545
ANKRD13A	1179
ANKRD13B	69
ANKRD13C	1338
ANKRD13D	1435
ANKRD16	1123
ANKRD17	7243
ANKRD1	51
ANKRD20A3	985
ANKRD20A4	460
ANKRD22	137
ANKRD23	53
ANKRD24	24
ANKRD26	2065
ANKRD27	820
ANKRD28	3997
ANKRD29	124
ANKRD2	1
ANKRD30A	103682
ANKRD30B	12824
ANKRD31	17
SLF1	572
ANKRD33	0
ANKRD34A	55
ANKRD34B	2
ANKRD34C	8
ANKRD35	35
ANKRD36BP1	970
ANKRD36B	5455
ANKRD36	6193
ANKRD37	355
ANKRD39	41
ANKRD40	1432
ANKRD42	520
SOWAHA	245
ANKRD44	541
ANKRD45	154
ANKRD46	657
ANKRD49	385
ANKRD50	7052
ANKRD52	1013
ANKRD53	3
ANKRD54	273
ANKRD55	4
SOWAHB	378
SOWAHC	388
SOWAHD	6
ANKEF1	1083
ANKRD6	175
ANKRD7	1
ANKRD9	148
ANKS1A	935
ANKS1B	1009
ANKS3	549
ANKS4B	157
ANKS6	161
ANKZF1	1142
ANLN	1018
ANO10	1103
ANO1	363
ANO2	112
ANO3	4
ANO4	40
ANO5	419
ANO6	2825
ANO7	53
ANO8	420
ANO9	108
ANP32A	2541
ANP32B	1471
ANP32D	5
ANP32E	675
ANPEP	24
ANTXR1	1455
ANTXR2	869
ANTXRL	5
ZFAND4	688
ANXA10	9
ANXA11	1984
ANXA13	0
ANXA1	924
ANXA2	14382
ANXA3	953
ANXA4	1279
ANXA5	5773
ANXA6	4280
ANXA7	2541
ANXA8L1	0
ANXA8	15
ANXA9	230
AOAH	101
AOC2	44
AOC3	364
AOX1	2612
AP1AR	1099
AP1B1	1515
AP1G1	2914
AP1G2	1129
AP1M1	324
AP1M2	1064
AP1S1	316
AP1S2	549
AP1S3	554
AP2A1	1180
AP2A2	1133
AP2B1	10511
AP2M1	1945
AP2S1	291
AP3B1	2475
AP3B2	22
AP3D1	2882
AP3M1	1854
AP3M2	883
AP3S1	1938
AP3S2	1629
AP4B1	492
AP4E1	886
AP4M1	352
AP4S1	219
APAF1	1417
APBA1	118
APBA2	125
APBA3	179
APBB1IP	146
APBB1	188
APBB2	2929
APBB3	336
APC2	51
APCDD1L	5
APCDD1	84
APCS	0
APC	2278
APEH	1123
APEX1	970
APEX2	239
APH1A	2626
APH1B	799
API5	2002
APIP	587
APITD1	150
APLF	689
APLNR	351
APLN	18
APLP1	51
APLP2	6598
APOA1BP	1136
APOA1	1
APOA2	1
APOA4	1
APOA5	0
APOBR	113
APOBEC1	0
APOBEC2	20
APOBEC3A	51
APOBEC3B	92
APOBEC3C	37
APOBEC3D	307
APOBEC3F	546
APOBEC3G	159
APOBEC3H	5
APOBEC4	15
APOB	40
APOC1P1	0
APOC1	103
APOC4-APOC2	10
APOC3	0
APOC4	14
APOD	30678
APOE	1672
APOF	65
APOH	0
APOL1	1348
APOL2	876
APOL3	833
APOL4	1172
APOL5	0
APOL6	5658
APOLD1	1180
APOM	29
APOOL	599
APOO	207
APPBP2	1740
APPL1	4145
APPL2	1328
APP	20818
APRT	378
APTX	713
AQP10	0
AQP11	404
AQP12A	0
AQP12B	0
AQP1	4102
AQP2	2
AQP3	1049
AQP4	26
AQP5	48
AQP6	59
AQP7	35
AQP8	0
AQP9	29
LVRN	49
AQR	2318
ARAF	578
ARAP1	588
ARAP2	1695
ARAP3	151
ARCN1	3028
ARC	2
AREG	1454
ARF1	10144
ARF3	3081
ARF4	3684
ARF5	976
ARF6	2969
ARFGAP1	1061
ARFGAP2	736
ARFGAP3	4703
ARFGEF1	6216
ARFGEF2	6986
ARFIP1	1557
ARFIP2	2320
ARFRP1	371
ARG1	2
ARG2	271
ARGFX	655
ARGLU1	6203
ARHGAP10	865
ARHGAP11A	556
ARHGAP11B	294
ARHGAP12	2521
ARHGAP15	244
ARHGAP17	1436
ARHGAP18	1272
ARHGAP19	655
ARHGAP1	943
ARHGAP20	129
ARHGAP21	2908
ARHGAP22	34
ARHGAP23	229
ARHGAP24	213
ARHGAP25	145
ARHGAP26	3436
ARHGAP27	404
ARHGAP28	531
ARHGAP29	6236
ARHGAP30	422
ARHGAP31	774
ARHGAP32	2849
ARHGAP33	172
ARHGAP36	0
ARHGAP39	399
ARHGAP42	441
ARHGAP4	285
ARHGAP5	9043
ARHGAP6	200
ARHGAP8	904
ARHGAP9	60
ARHGDIA	1303
ARHGDIB	1544
ARHGDIG	2
ARHGEF10L	773
ARHGEF10	1026
ARHGEF11	2493
ARHGEF12	6905
ARHGEF15	102
ARHGEF16	689
ARHGEF17	888
ARHGEF18	702
ARHGEF19	248
ARHGEF1	838
ARHGEF2	3031
ARHGEF33	179
ARHGEF35	3059
ARHGEF37	1387
ARHGEF38	3294
ARHGEF3	1145
ARHGEF4	126
ARHGEF5	3523
ARHGEF6	1431
ARHGEF7	2256
ARHGEF9	582
